epoch,train_loss,val_loss,time_seconds,learning_rate,iteration
1,0.09299519431466857,0.07731838040053844,121,0.0001,240
2,0.05769087514684846,0.06776511973390976,120,0.0001,480
3,0.053111765549207726,0.06756010732303062,120,0.0001,720
4,0.048505687581685684,0.08607660370568435,120,0.0001,960
5,0.04581146679508189,0.07487600557506084,120,0.0001,1200
6,0.044259618339128795,0.0697107012073199,120,0.0001,1440
7,0.04318946877804895,0.05961317221323649,120,0.0001,1680
8,0.041949767728025715,0.07565255872905255,120,0.0001,1920
9,0.039467843684057397,0.062292982327441376,120,0.0001,2160
10,0.039164283964782956,0.06422179248183965,120,0.0001,2400
11,0.03824171586893499,0.058329620771110056,120,0.0001,2640
12,0.037556869070976974,0.0588420232757926,120,0.0001,2880
13,0.03634341812382142,0.06263880009452502,120,0.0001,3120
14,0.035616150793309015,0.05602284024159113,120,0.0001,3360
15,0.03418015082521985,0.0555408692608277,120,0.0001,3600
16,0.03591836186824367,0.05592189071079095,120,0.0001,3840
17,0.0337630741026563,0.05863873399794102,120,0.0001,4080
18,0.033148873593502985,0.06060751291612784,120,0.0001,4320
19,0.03468641716366013,0.05786896664649248,120,0.0001,4560
20,0.03309650404844433,0.05800116993486881,120,0.0001,4800
21,0.031520630749097715,0.05324259040256341,120,0.0001,5040
22,0.0307799738793013,0.056576146930456164,120,0.0001,5280
23,0.03145804219335938,0.05858235607544581,120,0.0001,5520
24,0.032097184072093415,0.053811517916619776,120,0.0001,5760
25,0.030492015283865234,0.05837161646534999,120,0.0001,6000
26,0.029925771965645255,0.07334565166383981,120,0.0001,6240
27,0.02900836627231911,0.059534871578216554,120,0.0001,6480
28,0.03011706319715207,0.05172998222211997,120,0.0001,6720
29,0.027793972850001108,0.051167739741504195,120,0.0001,6960
30,0.028109126584604384,0.0584216134622693,120,0.0001,7200
31,0.0282622211962007,0.0657605949168404,120,0.0001,7440
32,0.02847776097090294,0.062228033381203814,120,0.0001,7680
33,0.02727907250712936,0.05489199471970399,120,0.0001,7920
34,0.02722759809112176,0.05563724230354031,120,0.0001,8160
35,0.027259902745330085,0.05284784696996212,120,0.0001,8400
36,0.026626845876065394,0.05626036673784256,120,0.0001,8640
37,0.025810419015275934,0.04983790162950754,120,0.0001,8880
38,0.026888517449454714,0.05285061007986466,120,0.0001,9120
39,0.02584992574993521,0.056784832788010435,120,0.0001,9360
40,0.02630707952193916,0.05153726115822792,120,0.0001,9600
41,0.026590138929896055,0.052551395756502944,120,0.0001,9840
42,0.025775111730520925,0.05662296125665307,120,0.0001,10080
43,0.0250158926898924,0.058591532272597155,120,0.0001,10320
44,0.026358496805187315,0.05506217324485382,120,0.0001,10560
45,0.024881716476132472,0.054170826884607476,120,0.0001,10800
46,0.026203433082749448,0.0544169328485926,120,0.0001,11040
47,0.02412083683690677,0.04967994286368291,120,0.0001,11280
48,0.024738357313132533,0.05089585569997628,120,0.0001,11520
49,0.025704688986297696,0.051856494570771856,120,0.0001,11760
50,0.023717108427081256,0.05085035158942143,120,0.0001,12000
51,0.02378369035044064,0.05437787032375733,120,0.0001,12240
52,0.023811365260432163,0.054935089436670144,120,0.0001,12480
53,0.02326345903178056,0.05717898836980263,120,0.0001,12720
54,0.02423016467752556,0.0494912201538682,120,0.0001,12960
55,0.02315407800876225,0.04783515405530731,120,0.0001,13200
56,0.024193353081742922,0.05428532312313716,120,0.0001,13440
57,0.02454004647443071,0.055283454991877076,120,0.0001,13680
58,0.02252725896735986,0.05713010498632987,120,0.0001,13920
59,0.02238010485113288,0.05745438964416583,120,0.0001,14160
60,0.024569711252115666,0.05175917589416106,120,0.0001,14400
61,0.022319959239879002,0.0586746396496892,120,0.0001,14640
62,0.022816265386063607,0.047241134010255335,120,0.0001,14880
63,0.022077437525149436,0.048223173680404824,120,0.0001,15120
64,0.022164958505891265,0.04798086167623599,125,0.0001,15360
65,0.025749867754833154,0.05063692592084408,120,0.0001,15600
66,0.023797395188982287,0.051662138663232327,120,0.0001,15840
67,0.022022281435783952,0.05024365323285262,120,0.0001,16080
68,0.021459238215660054,0.05173566297938426,120,0.0001,16320
69,0.02223165777977556,0.048208564954499405,120,0.0001,16560
70,0.021806387576119354,0.05048496164381504,120,0.0001,16800
71,0.02212500465878596,0.05428637738029162,120,0.0001,17040
72,0.022392631360950568,0.052454820337394875,120,0.0001,17280
73,0.02179412153394272,0.055561276401082674,120,1e-05,17520
74,0.02005083472079908,0.04863057900220156,120,1e-05,17760
75,0.01961921954061836,0.047664681387444334,120,1e-05,18000
76,0.019207535932461422,0.04827452572062611,120,1e-05,18240
77,0.019278251670766623,0.04750190017124017,120,1e-05,18480
78,0.01901697115196536,0.049082435419162115,120,1e-05,18720
79,0.018892842426430433,0.047079780511558054,120,1e-05,18960
80,0.01880409100170558,0.047756326384842396,120,1e-05,19200
81,0.018820195462709913,0.04766628198946516,120,1e-05,19440
82,0.018823836573089163,0.04746674845616023,120,1e-05,19680
83,0.018644699982057016,0.04795166508605083,120,1e-05,19920
84,0.01859642696023608,0.0488142682860295,120,1e-05,20160
85,0.01851205955026671,0.0492026158918937,120,1e-05,20400
86,0.01840756895253435,0.047275083729376395,120,1e-05,20640
87,0.018518321053124964,0.04846705136199792,120,1e-05,20880
88,0.01834955744755765,0.04869734300300479,120,1e-05,21120
89,0.01830046958833312,0.04784912302469214,120,1e-05,21360
